name,aliases,primary,secondary,logo
Newark Central,NCHS,#0070B0,#003040,newark-central.png
Hawthorne,HHS,#006030,#E01020,hawthorne.png
Princeton Day,PDHS,#101010,#808080,princeton-day.png
Edison,EHS,#CC0022,#C8880A,edison.svg
Paul VI,PVIHS,#000020,#9090A0,paul-vi.png
Morristown-Beard,MBHS,#C07070,#D0A0A0,morristown-beard.png
Hamilton West,"HHS,Hamilton",#F07020,#E0E0E0,hamilton-west.png
Park Ridge,PRHS,#603030,#201010,park-ridge.png
Newark Tech,NTHS,#603090,#E0D0E0,newark-tech.png
College Achieve Central,"CRHS,Central Regional",#F0C020,#500000,college-achieve-central.png
Kittatinny,"KRHS,Kittatinny Regional",#808080,#303030,kittatinny.png
Freehold Borough,"FTHS,Freehold Township",#001050,#00B0E0,freehold-borough.png
Ocean City,OCHS,#C01030,#E0E0E0,ocean-city.png
Mainland,"MRHS,Mainland Regional",#007050,#409080,mainland.png
Lodi,LHS,#304090,#D0E0E0,lodi.png
Lindenwold,LHS,#303060,#F09000,lindenwold.png
Timber Creek,"TCRHS,Timber Creek Regional",#000060,#E0E0E0,timber-creek.png
Vineland,VHS,#C00000,#E0E0E0,vineland.png
West Side,WSHS,#601030,#D0D0D0,west-side.png
North Warren,"NWRHS,North Warren Regional",#304060,#D04060,north-warren.png
St. Joseph (Mont.),"SJRHS,St. Joseph Regional",#F0C000,#104030,st-joseph-mont.png
Immaculata,IHS,#202050,#B0B0C0,immaculata.png
Highland Park,HPHS,#801010,#E0E0E0,highland-park.png
Metuchen,MHS,#C0C0C0,#E0E0E0,metuchen.png
Ferris,FHS,#909090,#003030,ferris.png
Union Catholic,UCHS,#034CB2,#F3EAD8,union-catholic.svg
St. Rose,SRHS,#0E4D5C,#F4C542,st-rose.svg
Gloucester Tech,"THS,Tech",#505050,#E0E0E0,gloucester-tech.png
Teaneck,THS,#034CB2,#F3EAD8,teaneck.svg
Wardlaw-Hartridge,"WHHS,Wardlaw Hartridge",#D0A010,#206010,wardlaw-hartridge.png
Hopatcong,HHS,#006040,#E0E0E0,hopatcong.png
Cumberland,CHS,#C07010,#E0E0E0,cumberland.png
New Milford,NMHS,#003010,#809080,new-milford.png
Hawthorne Christian,HCHS,#006030,#E01020,hawthorne-christian.png
Technology,"PCSSAT,Paterson Charter School for Science and Technology",#022C66,#C8880A,technology.svg
Millville,MHS,#003080,#F05020,millville.png
Science Park,SPHS,#F0C030,#2070C0,science-park.png
Donovan Catholic,DCHS,#003060,#909060,donovan-catholic.png
Camden Catholic,CCHS,#008050,#002030,camden-catholic.png
Westampton Tech,WTHS,#101010,#303030,westampton-tech.png
Cedar Creek,CCHS,#C09090,#300000,cedar-creek.png
Asbury Park,APHS,#5090B0,#506070,asbury-park.png
Gloucester Christian,"GCCHS,Gloucester County Christian",#000030,#E0E0E0,gloucester-christian.png
Hoboken,HHS,#C00020,#B0A0A0,hoboken.png
Butler,BHS,#B0C0C0,#002050,butler.png
Piscataway Tech,"PHS,Piscataway",#222222,#C8880A,piscataway-tech.svg
Riverside,RHS,#700020,#B0A0B0,riverside.png
Middle Township,MTHS,#D02010,#F0B0B0,middle-township.png
Absegami,AHS,#E0E0F0,#809090,absegami.png
Jackson Liberty,"LHS,Liberty",#300000,#900000,jackson-liberty.png
Pilgrim Academy,"TPA,The Pilgrim Academy",#E0E0E0,#101010,pilgrim-academy.png
McNair,"MNAHS,McNair Academic",#C0C060,#E0E0E0,mcnair.png
Paterson Charter,"PCSSAT,Paterson Charter School for Science and Technology",#E00000,#C0C0C0,paterson-charter.png
Pinelands,"PRHS,Pinelands Regional",#F0C090,#608040,pinelands.png
Vernon,VHS,#F0C000,#E0B090,vernon.png
Red Bank Catholic,RBCHS,#003030,#F09000,red-bank-catholic.png
